source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
KOI,2489550708,284685,298390.0,4436.0,3691.0,60180.0,4569.0,794.0,0.0,0,FALSE POSITIVE
KOI,2980479588,372527,3753400.0,17377.0,7052.0,60650.0,4377.0,1047.0,0.0,0,FALSE POSITIVE
KOI,481712182,245699,357560.0,4453.0,4345.0,54190.0,4581.0,795.0,0.0,0,FALSE POSITIVE
KOI,2479948394,57219,1506800.0,4896.0,3562.0,53910.0,4539.0,822.0,0.0,0,FALSE POSITIVE
KOI,158742695,266475,761620.0,11507.0,3764.0,64400.0,4313.0,1241.0,0.0,0,FALSE POSITIVE
KOI,19668404822,211764,3528100.0,18345.0,4291.0,52600.0,456.0,717.0,0.0,0,FALSE POSITIVE
KOI,118187288,4017,2490.0,103.0,209.0,58030.0,4211.0,1328.0,,1,CANDIDATE
KOI,578901936,3102,1103.0,78.0,78.0,52890.0,4546.0,748.0,,1,CANDIDATE
KOI,968065631,1772,925.0,140.0,68.0,53670.0,4639.0,687.0,0.0,0,FALSE POSITIVE
KOI,824181335,24864,2247.0,402.0,182.0,59770.0,4514.0,883.0,0.0,0,FALSE POSITIVE
KOI,1226708306,27,,,,,,,,1,CANDIDATE
KOI,245261841,19,855.0,88.0,69.0,52160.0,4564.0,751.0,0.0,0,FALSE POSITIVE
KOI,633342309,346,1233.0,75.0,762.0,43520.0,4671.0,613.0,,1,CANDIDATE
