source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
K2,28.270642,,,,2.79,5545.0,,0.9,,1,CANDIDATE
K2,28.2671,,,,2.94,,,1.028,,1,CANDIDATE
K2,28.271761,,,,2.7100633,5548.0,4.42,0.933556,,1,CANDIDATE
K2,28.2717,,,,,5564.0,4.40705,1.02594,,1,CANDIDATE
K2,4.73172,,,,1.7,,,1.028,,1,CANDIDATE
K2,0.782022,,,,1.58,,,0.94,,1,CANDIDATE
K2,0.78214992,,,,1.29,5144.0,,0.79,,1,CANDIDATE
K2,15.4769,,,,2.89,,,0.66,,1,CANDIDATE
K2,6.4498648,,,,2.63,5395.0,,0.85,,1,CANDIDATE
K2,6.45027,,,,2.29,,,0.894,,1,CANDIDATE
K2,1.19478,,,,1.65,3671.0,5.053,0.235,0.0,0,FALSE POSITIVE
K2,,,,,,4786.0,,0.7,0.0,0,FALSE POSITIVE
K2,1.5771832,,,,33.4,8210.0,,1.94,0.0,0,FALSE POSITIVE
K2,1.57753,,,,26.0,7747.0,4.08,1.93,0.0,0,FALSE POSITIVE
K2,3.262038,,,,,10318.0,,5.27397,,1,CANDIDATE
K2,4.4654,,,,45.0,,,2.3,,1,CANDIDATE
K2,21.140574,,,,31.5,6205.0,,1.29,,1,CANDIDATE
K2,5.74372,,,,,,,,,1,CANDIDATE
K2,3.2923818,,,,19.6,7824.0,,1.87,,1,CANDIDATE
K2,6.90487,,,,53.0,6599.0,4.241,1.45,,1,CANDIDATE
K2,6.905053,,,,,,,,,1,CANDIDATE
K2,6.9055211,,,,33.6,6722.0,,1.89,,1,CANDIDATE
K2,1.696374,,,,35.3,,,1.793,,1,CANDIDATE
K2,3.046136,,,,76.0,,,1.698,,1,CANDIDATE
K2,3.0459383,,,,19.0,5529.0,,0.89,,1,CANDIDATE
K2,3.04622,,,,29.0,5529.0,4.5,0.89,,1,CANDIDATE
K2,3.23792,,,,,4500.0,4.67558,0.639668,,1,CANDIDATE
K2,3.238542,,,,1.67,4446.0,,0.69,,1,CANDIDATE
K2,3.2367,,,,1.58,4863.0,4.597,0.74,,1,CANDIDATE
K2,6.2719092,,,,60.0,7254.0,,1.81,,1,CANDIDATE
K2,23.7782,,,,98.0,7498.0,4.03,2.09,0.0,0,FALSE POSITIVE
K2,1.42636,,,,6.66,,,4.28,,1,CANDIDATE
K2,3.979287,,,,37.5,7430.0,,1.84,,1,CANDIDATE
K2,2.1417519,,,,86.2,6492.0,,1.59,,1,CANDIDATE
K2,2.86136,,,,,3697.0,4.73628,0.50129,,1,CANDIDATE
K2,3.10622,,,,,3636.0,4.73641,0.501135,,1,CANDIDATE
K2,1.814553,,,,,4618.0,,10.0566,,1,CANDIDATE
K2,17.1541,,,,,4930.0,,16.1325,,1,CANDIDATE
K2,12.1507,,,,1.48,,,0.83,,1,CANDIDATE
K2,2.4343734,,,,61.4,5568.0,,0.9,,1,CANDIDATE
K2,1.8490876,,,,17.3,5693.0,,0.96,,1,CANDIDATE
K2,2.620724,,,,11.7,6013.0,,1.14,,1,CANDIDATE
K2,2.620799,,,,37.0,,,1.725,,1,CANDIDATE
K2,2.62077,,,,58.0,6302.0,4.23,1.4,,1,CANDIDATE
K2,1.314437,,,,3.09990986,6009.0,4.09,1.472064,,1,CANDIDATE
K2,1.3144014,,,,2.78,6137.0,,1.23,,1,CANDIDATE
K2,4.8045244,,,,3.62,6187.0,,1.28,,1,CANDIDATE
K2,6.14818,,,,,6591.31,,2.29043,,1,CANDIDATE
K2,1.49761,,,,,,,,,1,CANDIDATE
K2,6.479656,,,,3.33165021,5586.0,4.5,0.921539,,1,CANDIDATE
K2,6.48167,,,,3.46,,,0.922,,1,CANDIDATE
K2,6.4804111,,,,3.39,5537.0,,0.89,,1,CANDIDATE
K2,2.8445331,,,,65.3,6045.0,,1.16,,1,CANDIDATE
K2,0.6687,,,,2.22,,,1.942,,1,CANDIDATE
K2,13.3461,,,,42.0,,,2.575,,1,CANDIDATE
K2,4.13737,,,,24.5,,,1.03,,1,CANDIDATE
K2,4.1376047,,,,7.33,4581.0,,0.7,,1,CANDIDATE
K2,2.469851,,,,6.6,,,1.479,,1,CANDIDATE
K2,0.690458,,,,,6912.12,,1.50882,,1,CANDIDATE
K2,0.689647,,,,6.58,6481.0,4.0,1.08,,1,CANDIDATE
K2,4.1687922,,,,16.1,6005.0,,1.14,,1,CANDIDATE
K2,21.17051,,,,81.0,,,2.536,,1,CANDIDATE
K2,5.31937553733,,,,19.66846395,6350.0,3.78918,2.36934,,1,CANDIDATE
K2,5.319075,,,,20.0,,,2.28,,1,CANDIDATE
K2,12.86772,,,,71.0,6861.0,4.11,1.79,0.0,0,FALSE POSITIVE
K2,12.866412,,,,61.0,,,1.642,0.0,0,FALSE POSITIVE
K2,12.866539,,,,22.3,6066.0,,1.18,0.0,0,FALSE POSITIVE
K2,1.8461222,,,,19.5,7536.0,,1.82,0.0,0,FALSE POSITIVE
K2,1.84617,,,,2.14,3252.0,5.08,0.21,0.0,0,FALSE POSITIVE
K2,6.6223,,,,,5000.0,,5.54598,,1,CANDIDATE
K2,0.5217136,,,,452.0,,,11.27,,1,CANDIDATE
K2,11.975818,,,,8.43,3320.0,,0.28,,1,CANDIDATE
K2,11.97495,,,,256.0,5200.0,3.32,3.4,,1,CANDIDATE
K2,5.9895,,,,2.04,,,1.03,,1,CANDIDATE
K2,28.707623,,,,21.2,5838.0,,1.03,,1,CANDIDATE
K2,15.4715,,,,9.2,5791.0,4.005,1.89,,1,CANDIDATE
K2,15.465691,,,,4.13,4989.0,,0.76,,1,CANDIDATE
K2,15.466674,,,,16.12109089,5807.0,4.25,1.231429,,1,CANDIDATE
K2,1.4556637,,,,,6520.0,4.03395,1.84406,,1,CANDIDATE
K2,1.45556515,,,,71.0,,,2.043,,1,CANDIDATE
K2,3.3262396,,,,1.16,3404.0,,0.33,,1,CANDIDATE
K2,3.32592848,,,,,4017.0,,60.6949,,1,CANDIDATE
K2,3.3255,,,,1080.0,,,85.0,,1,CANDIDATE
K2,13.1426,,,,200.0,,,13.9,,1,CANDIDATE
K2,4.474513,,,,8.16881084,6081.0,3.88,2.221057,,1,CANDIDATE
K2,4.4743465,,,,3.06,5248.0,,0.81,,1,CANDIDATE
K2,4.47471,,,,22.0,,,2.486,,1,CANDIDATE
K2,2.1989041,,,,46.6,4938.0,,0.75,,1,CANDIDATE
K2,4.1657292,,,,1.86,3442.0,,0.36,,1,CANDIDATE
K2,0.6308,,,,,,,,0.0,0,FALSE POSITIVE
K2,0.2358684,,,,6.1,,,1.792,,1,CANDIDATE
K2,12.99109,,,,43.0,,,4.5,,1,CANDIDATE
K2,1.7359447,,,,1.89,5354.0,,0.84,,1,CANDIDATE
K2,1.8389349,,,,0.837,3930.0,,0.58,,1,CANDIDATE
K2,1.83916,,,,0.62,,,0.48,,1,CANDIDATE
K2,2.032664,,,,1.92,,,0.535,,1,CANDIDATE
K2,6.11706,,,,1.76,,,0.535,,1,CANDIDATE
K2,1.859017,,,,64.0,6842.0,4.01,2.03,,1,CANDIDATE
K2,1.85872487,,,,,6015.0,3.87316,2.01889,,1,CANDIDATE
K2,1.8590179,,,,30.5,6244.0,,1.33,,1,CANDIDATE
K2,540.0,,,,5.7,5200.0,,0.94,,1,CANDIDATE
K2,,,,,12.81,,,1.947,,1,CANDIDATE
K2,1.4408,,,,,4154.0,,1.58859,0.0,0,FALSE POSITIVE
